Rex,Label,Density,Grams,Cost,Formula Number
"LB","LAMP BLACK",1.0665069,39.599998,0,"2317"
"UO","UNLEADED ORANGE",1.9868184,165,0,"2317"
"TW","TITANIUM WHITE",1.8813661,99,0,"2317"
"DYE","RED ",1.0305573,303.60001,0,"2317"
"DYE","YELLOW",1.0305573,118.8,0,"2317"
"LB","LAMP BLACK",1.0665069,5.0999999,0,"2318"
"QR","QUIN RED",0.99460757,2.9000001,0,"2318"
"RU","RAW UMBER",1.3876573,24.1,0,"2318"
"BU","BURNT UMBER",1.483523,51.200001,0,"2318"
"BASE","SPRAY STAIN",0.76692629,2857.1001,0,"2318"
"BASE","WIPE STAIN",0.82444578,273.70001,0,"2322"
"TW","TITANIUM WHITE",1.8813661,15.2,0,"2322"
"LB","LAMP BLACK",1.0665069,10.5,0,"2322"
"BASE","WIPE STAIN",0.82444578,2899.8,0,"2323"
"TW","TITANIUM WHITE",1.8813661,338,0,"2323"
"LB","LAMP BLACK",1.0665069,17.5,0,"2323"
"YO","YELLOW OXIDE",1.605752,37.5,0,"2323"
"BU","BURNT UMBER",1.483523,71.699997,0,"2323"
"BASE","GLAZE",0.88436192,3231.3,0,"2324"
"TW","TITANIUM WHITE",1.8813661,139.2,0,"2324"
"RU","RAW UMBER",1.3876573,79.5,0,"2324"
"BASE","GLAZE",0.88436192,3041.7,0,"2325"
"TW","TITANIUM WHITE",1.8813661,328.5,0,"2325"
"YO","YELLOW OXIDE",1.605752,48.700001,0,"2325"
"RU","RAW UMBER",1.3876573,194.7,0,"2325"
"BASE","SPRAY STAIN",0.81485921,2985.3999,0,"2328"
"RU","RAW UMBER",1.3876573,37.900002,0,"2328"
"YO","YELLOW OXIDE",1.605752,36.299999,0,"2328"
"TW","TITANIUMN WHITE",1.8813661,45,0,"2328"
"LB","LAMP BLACK",1.0665069,49,0,"2328"
"PG","PTHALO GREEN",1.052127,1.6,0,"2328"
"BASE","WIPE STAIN",0.82444578,2907.6001,0,"2329"
"BU","BURNT UMBER",1.483523,112.4,0,"2329"
"RU","RAW UMBER",1.3876573,146.2,0,"2329"
"YO","YELLOW OXIDE",1.605752,90.300003,0,"2329"
"LB","LAMP BLACK",1.0665069,5.8000002,0,"2329"
"RO","RED OXIDE",1.7974836,27.9,0,"2329"
"BASE","GLAZE ",0.88436192,3161.8,0,"2330"
"RU","RAW UMBER",1.3876573,34.900002,0,"2330"
"YO","YELLOW OXIDE",1.605752,87.300003,0,"2330"
"TW","TITANIUMN WHITE",1.8813661,203.8,0,"2330"
"LB","LAMP BLACK",1.0665069,23.299999,0,"2330"
"BASE","GLAZE ",0.88436192,3306.8,0,"2331"
"LB","LAMP BLACK",1.0665069,48.900002,0,"2331"
"SEALER","TONER",0.97303772,3521.1001,0,"2332"
"BU","BURNT UMBER",1.483523,1.2,0,"2332"
"RU","RAW UMBER",1.3876573,37,0,"2332"
"YO","YELLOW OXIDE",1.605752,27.6,0,"2332"
"BASE","WIPE STAIN",0.82444578,2888.5,0,"2376"
"RU","RAW UMBER",1.3876573,40.900002,0,"2376"
"YO","YELLOW OXIDE",1.605752,102.9,0,"2376"
"TW","TITANIUMN WHITE",1.8813661,214.2,0,"2376"
"LB","LAMP BLACK",1.0665069,69,0,"2376"
"PG","PTHALO GREEN",1.052127,9.8999996,0,"2376"
"TW","TITANIUM WHITE",1.8813661,175.5,0,"2332"
"QR","QUIN RED",0.99460757,5.9000001,0,"2332"
"LB","LAMP BLACK",1.0665069,24.1,0,"2332"
"BASE","WIPE STAIN",0.82444578,2754.5,0,"2333"
"BU","BURNT UMBER",1.483523,66.099998,0,"2333"
"YO","YELLOW OXIDE",1.605752,132.2,0,"2333"
"TW","TITANIUM WHITE",1.8813661,440.70001,0,"2333"
"LB","LAMP BLACK",1.0665069,55.099998,0,"2333"
"PG","PTHALO GREEN",1.052127,33.099998,0,"2333"
"BASE","WIPE STAIN",0.82444578,2551.8,0,"2335"
"QR","QUIN RED",0.99460757,204.10001,0,"2335"
"LB","LAMP BLACK",1.0665069,51,0,"2335"
"DYE","RED ",1.0305573,138.5,0,"2335"
"DYE","RED BROWN",1.0305573,269.79999,0,"2335"
"RO","RED OXIDE",1.7974836,72.900002,0,"2335"
"BASE","WIPE STAIN",0.82444578,2739.2,0,"2336"
"BU","BURNT UMBER",1.483523,27.4,0,"2336"
"YO","YELLOW OXIDE",1.605752,34.200001,0,"2336"
"TW","TITANIUM WHITE",1.8813661,698.5,0,"2336"
"QR","QUIN RED",0.99460757,6.8000002,0,"2336"
"LB","LAMP BLACK",1.0665069,47.900002,0,"2336"
